,content
123,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Pavan ఫ్యాన్స్ అంత జగన్ కు కామెంట్ బాక్స్ లో పవన్ కళ్యాణ్ కీ birthday విషెస్ చైయండీ
124,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Happy Birthday @PawanKalyan Sir From all @actor_Nikhil Fan's 😍

#HappyBirthdayPSPK https://t.co/N9g2QIaqBJ"
125,"Ok the Occasion of PowerStars Birthday Here is a Small Gift from all us fans 
Very Happy to Release high voltage #JanaSenaniBirthday song.  #PawanKalyan 🎂

➡️ https://t.co/fzqKvtvw4Y

#HappyBirthdayPSPK 

#Manisharma @SakethKomanduri  @BandreddiRam #KrishnaChaitanya @_HiDigital https://t.co/vVRtyqeMHd"
126,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/LLF0CAFWYo 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

 👉 #HappyBirthdayPSPK"
127,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/SPp2XtaWFG 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital 

#HappyBirthdayPSPK
#BheemlaNayak | @PawanKalyan"
128,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/lMB2xPl4wO 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HappyBirthdayPSPK"
129,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/Qne0FTVCh8 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HappyBirthdayPSPK"
130,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/pSCSubu2Z3 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

 👉 #HappyBirthdayPSPK"
131,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/7mwbrf2rff 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

 👉 #HappyBirthdayPSPK"
132,"Here's Much Awaited

Janamannadhi JanaSenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/hbLHsdemVo 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HBDJanaSenani"
133,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/UPaR09bXIg 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HBDJanaSenaniPawanKalyan"
134,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/aT8NlY1SHs 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HBDJanaSenaniPawanKalyan"
135,"Here's Much Awaited Janamannadhi Janasenaku Sakshyam Song Out now 🎼🥁🔊

 ➡️ https://t.co/Jl6naljDaG 

#ManiSharma @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital

#HBDJanaSenaniPawanKalyan"
136,"Best Wishes To @isudheerbabu ,@Karunafilmmaker &amp; Entire Team Of #SrideviSodaCenter 

All Over Positive Vibes 🤩😍

@70mmEntertains @VijayChilla @anandhiactress @devireddyshashi @IamEluruSreenu @varungds https://t.co/hnIW5fQc2r"
137,"@SumanthOffl @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Thanks brother 🤝🤙
#weshouldsupporteachother"
138,@maddujeevesh @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Sure Brother
139,@SumanthOffl @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Follow back bro
140,"Team @Syringe_Cinema Wishes Everyone a #happymuharram ✨
𝐅𝐢𝐫𝐬𝐭 𝐒𝐢𝐧𝐠𝐥𝐞 𝐀𝐧𝐧𝐨𝐮𝐧𝐜𝐞𝐦𝐞𝐧𝐭 𝐒𝐨𝐨𝐧
A #Varnam Musical 🎼🥁
@MrKarthiKKG @IamHebahPatel #KSV  @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital https://t.co/eJQJDuPN2Z"
